fid,CuadrID,latitude,longitude,Area_hec,HIE_FAS,SAL_SAL,ALY_DIC,DIS_JEA,VIP_LAT,CAP_PYR,CAN_LUP,URS_ARC,MUS_LUT,GAL_PYR,ATE_ALG,MAC_CAL,PAR_APO,LUC_CER,APT_APT,LOP,LOP2,LOP3,LALOP2,LA2LOP,LALOP,LA2,LA3,LA,ORS,ORW,ALTI,ALTI2,PEND,PEND2,DAUT,DIHE,DIPR,ESCO,ETP,ETR,HUEN,HUJU,INSO,PERM,PM24,PMR,PREC,RADS,TENE,TJUL,TMED,U100,U500
"898",898,40,-6,10009,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.54948,12.60009,44.73266,514.72266,5923.31348,144.99898,1668.78052,68170.90625,40.8507,82.23785,88.70724,738.50433,545388.6506,1.08751,1.18267,63.88322,60.86087,85.52364,156.84749,741.01093,589.15613,92.47977,67.41529,2786.57324,2,92.03178,0.1564,589.15613,4.4333,5.25288,21.88973,13.17584,67.65316,179.98087
"899",899,40,-6,10009,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.55427,12.63403,44.91305,517.23285,5957.17041,145.51086,1676.0592,68617.40625,40.93969,100.47165,97.52396,715.11572,511390.49685,0.93376,0.87191,59.08179,59.40496,96.07597,181.50996,735.95111,642.42627,92.9306,66.81848,2750.77441,2,90.43375,0.1408,642.42627,4.40864,4.83405,21.96134,13.4637,66.01004,178.36365
"900",900,41,-6,10009,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.55464,12.63673,44.92791,518.53455,5985.24561,145.86092,1683.78162,69092.1875,41.0339,86.39049,109.5693,748.20868,559816.22763,0.87369,0.76334,55.60837,55.72174,102.17639,207.94701,748.66339,675.72296,93.40124,66.00914,2714.80786,2,91.18226,0.13494,675.72296,4.41689,4.48535,22.21408,13.6784,65.91551,177.19374
"901",901,41,-6,10009,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.56027,12.67675,45.14126,521.3031,6020.72021,146.40834,1691.08411,69542.14062,41.12278,86.82396,96.35475,737.27191,543569.87163,0.74197,0.55052,53.67247,50.09649,102.15939,207.38054,766.57941,701.93457,93.90777,65.58446,2679.20215,2,93.47469,0.13314,701.93457,4.4398,4.44788,22.84864,13.7658,67.2528,176.64085
"902",902,41,-6,10008,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.56152,12.68565,45.18889,522.75818,6048.00391,146.7654,1698.15271,69978.61719,41.20864,91.11914,94.66493,735.46088,540902.70086,0.98166,0.96366,52.56529,44.0087,90.1252,182.65002,782.12823,707.99268,94.47659,65.65427,2642.80664,2,96.10203,0.13573,707.99268,4.46195,5.0391,23.9096,13.92776,69.80005,176.81215
"903",903,41,-6,7063,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",3.57909,12.81101,45.85968,529.00092,6102.63477,147.78999,1705.07129,70406.71094,41.2925,70.70937,105.32275,614.72095,377881.84305,3.72218,13.8546,49.16748,38.16279,80.77346,168.64134,798.26678,676.42242,94.76521,67.22066,2609.35571,2,97.50184,0.14418,676.42242,4.49214,4.88356,23.9753,14.21452,72.55253,178.33438
"904",904,41,-6,785,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.61806,13.09043,47.36262,541.5127,6191.33203,149.66827,1711.22852,70788.40625,41.36699,66.02996,94.00725,578.42859,334579.63246,4.40031,19.36276,46.15813,35.28571,79.1289,161.99272,807.31836,640.38556,94.19522,69.69855,2594.59351,2,96.87666,0.1513,640.38556,4.50994,4.5117,23.12103,14.47093,74.12389,182.11267
"905",905,40,-6,10007,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.66311,13.41951,49.1654,545.69958,6057.36621,148.95905,1653.61072,67243.48438,40.6646,62.11441,110.32936,791.06836,625789.14924,0.76417,0.58395,83.79707,62.15385,88.13908,145.77893,727.52014,488.50278,90.64999,65.22843,2865.36279,3,132.33147,0.27075,488.50278,4.47806,4.70079,21.2025,12.64092,66.02975,194.36978
"906",906,40,-6,10007,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",3.66388,13.42525,49.19748,547.16504,6086.02148,149.32669,1661.08533,67699.92188,40.7564,73.98597,92.09351,749.26086,561391.84277,0.68521,0.46951,77.52491,63.86087,83.54395,121.55,731.45636,494.89209,91.29714,66.50977,2811.23608,2.9913,103.93463,0.21069,494.89209,4.43697,5.09296,21.41951,12.95824,61.54239,191.66147
"907",907,40,-6,10006,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.67101,13.47755,49.48513,550.53735,6125.45996,149.95547,1668.60498,68160.15625,40.84855,90.65522,90.99112,746.81195,557728.08971,0.65718,0.43189,72.41048,64.1282,80.95209,132.3037,735.24231,551.29205,91.75803,67.56149,2771.64478,2.24786,90.51424,0.1646,551.29205,4.40471,5.0295,21.50287,13.32092,57.94124,189.76898
